NewsOutletCountry,Theme,ActionCountry,Actor,avg(Tone)
CH,PMESII-PT-Economic ,CH,CHN,1.8517940688530719
CH,PMESII-PT-Economic ,CH,RUS,1.0939500125825743
CH,PMESII-PT-Economic ,CH,USA,-0.2533823560377112
CH,PMESII-PT-Economic ,ID,CHN,2.467393283721279
CH,PMESII-PT-Economic ,ID,RUS,-0.18974371254444122
CH,PMESII-PT-Economic ,ID,USA,-0.376074415165931
CH,PMESII-PT-Economic ,JA,CHN,-0.7505299977732427
CH,PMESII-PT-Economic ,JA,RUS,-2.8593228328973055
CH,PMESII-PT-Economic ,JA,USA,-0.9461814897327587
CH,PMESII-PT-Economic ,MY,CHN,2.821443682664061
CH,PMESII-PT-Economic ,MY,RUS,1.347376599907875
CH,PMESII-PT-Economic ,MY,USA,-1.326535802334547
CH,PMESII-PT-Economic ,RP,CHN,-3.2411666550170417
CH,PMESII-PT-Economic ,RP,USA,-2.0392558177626587
CH,PMESII-PT-Economic ,SN,CHN,2.592810821126808
CH,PMESII-PT-Economic ,SN,RUS,3.1404136419296265
CH,PMESII-PT-Economic ,SN,USA,0.30471269837741194
CH,PMESII-PT-Economic ,TW,CHN,-0.04536146239994408
CH,PMESII-PT-Economic ,TW,RUS,-5.366118431091309
CH,PMESII-PT-Economic ,TW,USA,-1.200981101451012
CH,PMESII-PT-Economic ,VM,CHN,2.468672448557984
CH,PMESII-PT-Economic ,VM,RUS,3.966575970252355
CH,PMESII-PT-Economic ,VM,USA,0.896407221754392
CH,PMESII-PT-Information ,CH,CHN,1.0876115658899275
CH,PMESII-PT-Information ,CH,RUS,1.9215330648861948
CH,PMESII-PT-Information ,CH,USA,-1.2017967863932884
CH,PMESII-PT-Information ,ID,CHN,2.227493261163299
CH,PMESII-PT-Information ,ID,USA,-0.2259517709414164
CH,PMESII-PT-Information ,JA,CHN,-1.3560826845888823
CH,PMESII-PT-Information ,JA,RUS,-2.7616998106241226
CH,PMESII-PT-Information ,JA,USA,-2.2110839440590806
CH,PMESII-PT-Information ,MY,CHN,2.6847861664635793
CH,PMESII-PT-Information ,MY,USA,-0.27280052683570166
CH,PMESII-PT-Information ,RP,CHN,-3.3889221653573274
CH,PMESII-PT-Information ,RP,RUS,-1.6534391641616821
CH,PMESII-PT-Information ,RP,USA,-2.7345954852385654
CH,PMESII-PT-Information ,SN,CHN,1.1183696137741208
CH,PMESII-PT-Information ,SN,USA,0.0825317973891894
CH,PMESII-PT-Information ,TW,CHN,-1.2637014615605449
CH,PMESII-PT-Information ,TW,USA,-1.939074912043505
CH,PMESII-PT-Information ,VM,CHN,1.7566688166096294
CH,PMESII-PT-Information ,VM,RUS,0.7718088924884796
CH,PMESII-PT-Information ,VM,USA,1.25
CH,PMESII-PT-Infrastructure,CH,CHN,1.212600098164899
CH,PMESII-PT-Infrastructure,CH,RUS,1.0325268508396417
CH,PMESII-PT-Infrastructure,CH,USA,-0.6342854218590266
CH,PMESII-PT-Infrastructure,ID,CHN,2.5422884347763928
CH,PMESII-PT-Infrastructure,ID,USA,-1.029659868258497
CH,PMESII-PT-Infrastructure,JA,CHN,-1.6026408791620275
CH,PMESII-PT-Infrastructure,JA,RUS,-1.7947079452375572
CH,PMESII-PT-Infrastructure,JA,USA,-1.900049021622787
CH,PMESII-PT-Infrastructure,MY,CHN,3.503311926841736
CH,PMESII-PT-Infrastructure,MY,RUS,-4.682274341583252
CH,PMESII-PT-Infrastructure,MY,USA,-1.7340270855597086
CH,PMESII-PT-Infrastructure,RP,CHN,-3.502923879669165
CH,PMESII-PT-Infrastructure,RP,RUS,-2.070500671863556
CH,PMESII-PT-Infrastructure,RP,USA,-2.8868811846519193
CH,PMESII-PT-Infrastructure,SN,CHN,1.8136901131698064
CH,PMESII-PT-Infrastructure,SN,RUS,-2.8446390628814697
CH,PMESII-PT-Infrastructure,SN,USA,-0.5482050726811091
CH,PMESII-PT-Infrastructure,TW,CHN,-1.7051848254209974
CH,PMESII-PT-Infrastructure,TW,RUS,-2.8450746536254883
CH,PMESII-PT-Infrastructure,TW,USA,-2.0459727728334456
CH,PMESII-PT-Infrastructure,VM,CHN,1.3316080456233432
CH,PMESII-PT-Infrastructure,VM,RUS,0.2766996771097183
CH,PMESII-PT-Infrastructure,VM,USA,-0.9769170920054118
CH,PMESII-PT-Military ,CH,CHN,-0.2776519750549196
CH,PMESII-PT-Military ,CH,RUS,-1.2246714928096833
CH,PMESII-PT-Military ,CH,USA,-1.703871703012136
CH,PMESII-PT-Military ,ID,CHN,0.33988407283437017
CH,PMESII-PT-Military ,ID,RUS,0.5084364073617118
CH,PMESII-PT-Military ,ID,USA,-1.5129538039366404
CH,PMESII-PT-Military ,JA,CHN,-2.7734934503495383
CH,PMESII-PT-Military ,JA,RUS,-2.1679633061091104
CH,PMESII-PT-Military ,JA,USA,-1.765894418574394
CH,PMESII-PT-Military ,MY,CHN,0.5188552676414957
CH,PMESII-PT-Military ,MY,RUS,-1.496479606628418
CH,PMESII-PT-Military ,MY,USA,-2.715559644358499
CH,PMESII-PT-Military ,RP,CHN,-3.4724490938331924
CH,PMESII-PT-Military ,RP,RUS,-2.0483835637569427
CH,PMESII-PT-Military ,RP,USA,-2.046919372495053
CH,PMESII-PT-Military ,SN,CHN,0.7740566975930158
CH,PMESII-PT-Military ,SN,RUS,0.3676497574363436
CH,PMESII-PT-Military ,SN,USA,-0.5679721131920814
CH,PMESII-PT-Military ,TW,CHN,-2.173227254696416
CH,PMESII-PT-Military ,TW,RUS,-1.2643676595762372
CH,PMESII-PT-Military ,TW,USA,-1.781547308654829
CH,PMESII-PT-Military ,VM,CHN,1.5918213726885349
CH,PMESII-PT-Military ,VM,RUS,-0.5647690445184708
CH,PMESII-PT-Military ,VM,USA,-2.793669859568278
CH,PMESII-PT-Not Assigned,CH,CHN,1.0568391137217592
CH,PMESII-PT-Not Assigned,CH,RUS,-0.5530831203108928
CH,PMESII-PT-Not Assigned,CH,USA,-0.38254434341064825
CH,PMESII-PT-Not Assigned,ID,CHN,1.4718474474820225
CH,PMESII-PT-Not Assigned,ID,RUS,0.4354136288166046
CH,PMESII-PT-Not Assigned,ID,USA,-2.7998152375221252
CH,PMESII-PT-Not Assigned,JA,CHN,-3.394291068194434
CH,PMESII-PT-Not Assigned,JA,USA,-1.5742352594222342
CH,PMESII-PT-Not Assigned,MY,CHN,0.15316281914711
CH,PMESII-PT-Not Assigned,MY,USA,-0.9749043822288513
CH,PMESII-PT-Not Assigned,RP,CHN,-2.744328593167494
CH,PMESII-PT-Not Assigned,RP,RUS,-3.076923131942749
CH,PMESII-PT-Not Assigned,RP,USA,-2.8758731476134725
CH,PMESII-PT-Not Assigned,SN,CHN,2.1303810477256775
CH,PMESII-PT-Not Assigned,SN,USA,-4.026167535781861
CH,PMESII-PT-Not Assigned,TW,CHN,-2.3757077174240284
CH,PMESII-PT-Not Assigned,TW,RUS,-3.5580525398254395
CH,PMESII-PT-Not Assigned,TW,USA,-2.2998782520492873
CH,PMESII-PT-Not Assigned,VM,CHN,3.016258716583252
CH,PMESII-PT-Not Assigned,VM,USA,-7.584385236104329
CH,PMESII-PT-Physical Environment ,CH,CHN,1.3348652700411185
CH,PMESII-PT-Physical Environment ,CH,RUS,1.900585363587062
CH,PMESII-PT-Physical Environment ,CH,USA,-0.3052595338543704
CH,PMESII-PT-Physical Environment ,ID,CHN,2.134103607683055
CH,PMESII-PT-Physical Environment ,ID,RUS,-0.06324790418148041
CH,PMESII-PT-Physical Environment ,ID,USA,-1.5576360919512808
CH,PMESII-PT-Physical Environment ,JA,CHN,-0.9765010668211672
CH,PMESII-PT-Physical Environment ,JA,RUS,-2.1034210863567533
CH,PMESII-PT-Physical Environment ,JA,USA,-1.4513247209290663
CH,PMESII-PT-Physical Environment ,MY,CHN,2.740512994161019
CH,PMESII-PT-Physical Environment ,MY,RUS,-0.9434194266796112
CH,PMESII-PT-Physical Environment ,MY,USA,-0.7906912267208099
CH,PMESII-PT-Physical Environment ,RP,CHN,-3.151042002808358
CH,PMESII-PT-Physical Environment ,RP,RUS,-2.4875621795654297
CH,PMESII-PT-Physical Environment ,RP,USA,-2.395750360373976
CH,PMESII-PT-Physical Environment ,SN,CHN,1.3678557901684918
CH,PMESII-PT-Physical Environment ,SN,USA,0.9099201691150666
CH,PMESII-PT-Physical Environment ,TW,CHN,-1.5516653043003037
CH,PMESII-PT-Physical Environment ,TW,RUS,-0.8046715054661036
CH,PMESII-PT-Physical Environment ,TW,USA,-1.3645201150576274
CH,PMESII-PT-Physical Environment ,VM,CHN,0.16481158569721238
CH,PMESII-PT-Physical Environment ,VM,RUS,-1.6699451684951783
CH,PMESII-PT-Physical Environment ,VM,USA,-1.4939035566953511
CH,PMESII-PT-Political,CH,CHN,1.4949282763933132
CH,PMESII-PT-Political,CH,RUS,1.6729844671078968
CH,PMESII-PT-Political,CH,USA,-0.7177326776480633
CH,PMESII-PT-Political,ID,CHN,3.4532081693460377
CH,PMESII-PT-Political,ID,RUS,0.23867539384148337
CH,PMESII-PT-Political,ID,USA,-0.9302385586003462
CH,PMESII-PT-Political,JA,CHN,-0.5502568701684694
CH,PMESII-PT-Political,JA,RUS,-2.517528774216771
CH,PMESII-PT-Political,JA,USA,-1.3336982131782462
CH,PMESII-PT-Political,MY,CHN,3.499720929400941
CH,PMESII-PT-Political,MY,RUS,-0.024504741032918293
CH,PMESII-PT-Political,MY,USA,-1.0710136782615742
CH,PMESII-PT-Political,RP,CHN,-3.1850051162905344
CH,PMESII-PT-Political,RP,USA,-2.3188253018619687
CH,PMESII-PT-Political,SN,CHN,2.5054142005102973
CH,PMESII-PT-Political,SN,RUS,0.3676497574363436
CH,PMESII-PT-Political,SN,USA,-0.38911700692691215
CH,PMESII-PT-Political,TW,CHN,-0.861403462141971
CH,PMESII-PT-Political,TW,RUS,-1.70998195707798
CH,PMESII-PT-Political,TW,USA,-1.399704446765642
CH,PMESII-PT-Political,VM,CHN,2.8956885594322066
CH,PMESII-PT-Political,VM,RUS,1.3654575198888779
CH,PMESII-PT-Political,VM,USA,-1.2864917701198941
CH,PMESII-PT-Social ,CH,CHN,1.7580623704118952
CH,PMESII-PT-Social ,CH,RUS,2.0282544042713937
CH,PMESII-PT-Social ,CH,USA,-0.2759247239725174
CH,PMESII-PT-Social ,ID,CHN,3.238417939832771
CH,PMESII-PT-Social ,ID,RUS,0.22486872293732382
CH,PMESII-PT-Social ,ID,USA,-0.39729169697353717
CH,PMESII-PT-Social ,JA,CHN,-0.7476085503524096
CH,PMESII-PT-Social ,JA,RUS,-2.5787336934229423
CH,PMESII-PT-Social ,JA,USA,-1.2988488358212635
CH,PMESII-PT-Social ,MY,CHN,3.3258383919283285
CH,PMESII-PT-Social ,MY,RUS,-0.23254351483450997
CH,PMESII-PT-Social ,MY,USA,-0.8442222803831101
CH,PMESII-PT-Social ,RP,CHN,-3.0188466185563785
CH,PMESII-PT-Social ,RP,RUS,-2.3651811480522156
CH,PMESII-PT-Social ,RP,USA,-2.2116717027965933
CH,PMESII-PT-Social ,SN,CHN,2.076558267949401
CH,PMESII-PT-Social ,SN,RUS,0.3676497574363436
CH,PMESII-PT-Social ,SN,USA,-0.12752175865613896
CH,PMESII-PT-Social ,TW,CHN,-0.9277817440949564
CH,PMESII-PT-Social ,TW,RUS,-2.432648521448885
CH,PMESII-PT-Social ,TW,USA,-1.5437683515803782
CH,PMESII-PT-Social ,VM,CHN,2.68908977179731
CH,PMESII-PT-Social ,VM,RUS,1.3001240560641656
CH,PMESII-PT-Social ,VM,USA,-0.6023739210196903
ID,PMESII-PT-Economic ,CH,CHN,0.08713099940079534
ID,PMESII-PT-Economic ,CH,RUS,-2.2525853839689405
ID,PMESII-PT-Economic ,CH,USA,-0.7843677171213286
ID,PMESII-PT-Economic ,ID,CHN,1.341737997695587
ID,PMESII-PT-Economic ,ID,RUS,0.9862364369134108
ID,PMESII-PT-Economic ,ID,USA,0.4237572434150948
ID,PMESII-PT-Economic ,JA,CHN,-0.05402611168948087
ID,PMESII-PT-Economic ,JA,RUS,-2.9782426158587136
ID,PMESII-PT-Economic ,JA,USA,-1.1128399318723536
ID,PMESII-PT-Economic ,MY,CHN,2.027869919935862
ID,PMESII-PT-Economic ,MY,RUS,3.076923131942749
ID,PMESII-PT-Economic ,MY,USA,0.6967370510101318
ID,PMESII-PT-Economic ,RP,CHN,-3.352410497665405
ID,PMESII-PT-Economic ,RP,RUS,-6.488549709320068
ID,PMESII-PT-Economic ,RP,USA,-0.5269267019771394
ID,PMESII-PT-Economic ,SN,CHN,0.7296718399112041
ID,PMESII-PT-Economic ,SN,RUS,-2.6086259682973227
ID,PMESII-PT-Economic ,SN,USA,0.5091209085214705
ID,PMESII-PT-Economic ,TW,CHN,-2.2189405691332933
ID,PMESII-PT-Economic ,TW,RUS,-3.254787266254425
ID,PMESII-PT-Economic ,TW,USA,-0.7925745730216687
ID,PMESII-PT-Economic ,VM,CHN,2.4890724974019185
ID,PMESII-PT-Economic ,VM,RUS,3.0262133280436196
ID,PMESII-PT-Economic ,VM,USA,1.4923946715536571
ID,PMESII-PT-Information ,CH,CHN,-0.921245692809072
ID,PMESII-PT-Information ,CH,RUS,-1.573363993974293
ID,PMESII-PT-Information ,CH,USA,-2.5407305845412713
ID,PMESII-PT-Information ,ID,CHN,0.44185587569423346
ID,PMESII-PT-Information ,ID,RUS,0.37621167444047476
ID,PMESII-PT-Information ,ID,USA,-0.10978233623561136
ID,PMESII-PT-Information ,JA,CHN,-0.7079341028417859
ID,PMESII-PT-Information ,JA,RUS,-3.6369290749231973
ID,PMESII-PT-Information ,JA,USA,-1.0272952643307773
ID,PMESII-PT-Information ,MY,CHN,1.470588207244873
ID,PMESII-PT-Information ,MY,USA,-2.0192080438137054
ID,PMESII-PT-Information ,RP,CHN,-3.20869175025395
ID,PMESII-PT-Information ,RP,RUS,-2.8349385261535645
ID,PMESII-PT-Information ,RP,USA,-1.2681672543287277
ID,PMESII-PT-Information ,SN,USA,-3.1082202427917056
ID,PMESII-PT-Information ,TW,CHN,-3.0793776320559636
ID,PMESII-PT-Information ,TW,RUS,-7.506702423095703
ID,PMESII-PT-Information ,TW,USA,-3.1235883931318917
ID,PMESII-PT-Information ,VM,CHN,5.105853080749512
ID,PMESII-PT-Information ,VM,RUS,-3.8628196716308594
ID,PMESII-PT-Information ,VM,USA,1.9429832299550374
ID,PMESII-PT-Infrastructure,CH,CHN,-0.5767625690770759
ID,PMESII-PT-Infrastructure,CH,RUS,-1.6434126345948739
ID,PMESII-PT-Infrastructure,CH,USA,-1.1678555927666507
ID,PMESII-PT-Infrastructure,ID,CHN,0.710564425057642
ID,PMESII-PT-Infrastructure,ID,RUS,0.2449006876059338
ID,PMESII-PT-Infrastructure,ID,USA,-0.37325797033245195
ID,PMESII-PT-Infrastructure,JA,CHN,-1.8832284697031572
ID,PMESII-PT-Infrastructure,JA,RUS,-4.024313539914463
ID,PMESII-PT-Infrastructure,JA,USA,-1.6621549931065789
ID,PMESII-PT-Infrastructure,MY,CHN,0.6787116646766662
ID,PMESII-PT-Infrastructure,MY,RUS,3.076923131942749
ID,PMESII-PT-Infrastructure,MY,USA,-0.5156033975737435
ID,PMESII-PT-Infrastructure,RP,CHN,-3.8741694643216973
ID,PMESII-PT-Infrastructure,RP,RUS,-2.3778308272361754
ID,PMESII-PT-Infrastructure,RP,USA,-2.0399863216383705
ID,PMESII-PT-Infrastructure,SN,CHN,-0.5071665048599243
ID,PMESII-PT-Infrastructure,SN,RUS,-4.275809049606323
ID,PMESII-PT-Infrastructure,SN,USA,-3.403469686546633
ID,PMESII-PT-Infrastructure,TW,CHN,-3.1251186069515016
ID,PMESII-PT-Infrastructure,TW,RUS,-0.9213059643904368
ID,PMESII-PT-Infrastructure,TW,USA,-3.086473183499442
ID,PMESII-PT-Infrastructure,VM,CHN,1.3944192161926856
ID,PMESII-PT-Infrastructure,VM,RUS,1.624112617969513
ID,PMESII-PT-Infrastructure,VM,USA,1.0426095284913715
ID,PMESII-PT-Military ,CH,CHN,-1.9124651902232441
ID,PMESII-PT-Military ,CH,RUS,-2.720176222830497
ID,PMESII-PT-Military ,CH,USA,-2.1761627140576425
ID,PMESII-PT-Military ,ID,CHN,-0.2773978668664183
ID,PMESII-PT-Military ,ID,RUS,-0.8114057020284235
ID,PMESII-PT-Military ,ID,USA,-1.2904416439377675
ID,PMESII-PT-Military ,JA,CHN,-1.1633295853590142
ID,PMESII-PT-Military ,JA,RUS,-2.6953584336957266
ID,PMESII-PT-Military ,JA,USA,-2.298016781021248
ID,PMESII-PT-Military ,MY,CHN,-0.6349206566810608
ID,PMESII-PT-Military ,MY,RUS,-0.6349206566810608
ID,PMESII-PT-Military ,MY,USA,-1.7401145994663239
ID,PMESII-PT-Military ,RP,CHN,-3.987509826490702
ID,PMESII-PT-Military ,RP,RUS,-5.561026705635919
ID,PMESII-PT-Military ,RP,USA,-2.79252982346548
ID,PMESII-PT-Military ,SN,CHN,-1.1521278619766235
ID,PMESII-PT-Military ,SN,RUS,-1.9948371171951294
ID,PMESII-PT-Military ,SN,USA,-0.08859819599560328
ID,PMESII-PT-Military ,TW,CHN,-3.2736578996479513
ID,PMESII-PT-Military ,TW,RUS,-2.1815631753868527
ID,PMESII-PT-Military ,TW,USA,-2.4926337870684536
ID,PMESII-PT-Military ,VM,CHN,1.8539016485214233
ID,PMESII-PT-Military ,VM,RUS,-1.6241332689921062
ID,PMESII-PT-Military ,VM,USA,-0.1517544620566898
ID,PMESII-PT-Not Assigned,CH,CHN,-1.4879520498478496
ID,PMESII-PT-Not Assigned,CH,RUS,-4.623438358306885
ID,PMESII-PT-Not Assigned,CH,USA,-0.18612733941811782
ID,PMESII-PT-Not Assigned,ID,CHN,0.7475128931303819
ID,PMESII-PT-Not Assigned,ID,RUS,-1.2974948918819427
ID,PMESII-PT-Not Assigned,ID,USA,-2.1407178694766666
ID,PMESII-PT-Not Assigned,JA,CHN,-3.524992356697718
ID,PMESII-PT-Not Assigned,JA,RUS,-5.373393416404724
ID,PMESII-PT-Not Assigned,JA,USA,-2.580203672250112
ID,PMESII-PT-Not Assigned,RP,CHN,-3.797683408856392
ID,PMESII-PT-Not Assigned,RP,USA,-6.854147672653198
ID,PMESII-PT-Not Assigned,SN,CHN,-2.044448137283325
ID,PMESII-PT-Not Assigned,SN,USA,-7.093080461025238
ID,PMESII-PT-Not Assigned,TW,CHN,-6.4984020590782166
ID,PMESII-PT-Not Assigned,TW,USA,-8.825014591217041
ID,PMESII-PT-Not Assigned,VM,RUS,-1.2099908420017786
ID,PMESII-PT-Not Assigned,VM,USA,2.865519106388092
ID,PMESII-PT-Physical Environment ,CH,CHN,-0.11842476658803772
ID,PMESII-PT-Physical Environment ,CH,RUS,-1.733015409715119
ID,PMESII-PT-Physical Environment ,CH,USA,-0.3793767411117406
ID,PMESII-PT-Physical Environment ,ID,CHN,1.3943351710055556
ID,PMESII-PT-Physical Environment ,ID,RUS,0.020943476717070777
ID,PMESII-PT-Physical Environment ,ID,USA,-0.9459257093280188
ID,PMESII-PT-Physical Environment ,JA,CHN,-3.3569215478805394
ID,PMESII-PT-Physical Environment ,JA,RUS,-4.467616074851581
ID,PMESII-PT-Physical Environment ,JA,USA,-1.2595074801675734
ID,PMESII-PT-Physical Environment ,MY,CHN,0.6013938983281454
ID,PMESII-PT-Physical Environment ,MY,USA,2.4655973613262177
ID,PMESII-PT-Physical Environment ,RP,CHN,-3.9886245575166286
ID,PMESII-PT-Physical Environment ,RP,RUS,-4.707210530837377
ID,PMESII-PT-Physical Environment ,RP,USA,-2.3833089396357536
ID,PMESII-PT-Physical Environment ,SN,CHN,-0.1866592557302543
ID,PMESII-PT-Physical Environment ,SN,USA,-4.3545066928863525
ID,PMESII-PT-Physical Environment ,TW,CHN,-2.5083651002847924
ID,PMESII-PT-Physical Environment ,TW,RUS,-3.942974845568339
ID,PMESII-PT-Physical Environment ,TW,USA,-2.472080663630837
ID,PMESII-PT-Physical Environment ,VM,CHN,1.9711346973975499
ID,PMESII-PT-Physical Environment ,VM,USA,0.92831651866436
ID,PMESII-PT-Political,CH,CHN,-0.4365071088796223
ID,PMESII-PT-Political,CH,RUS,-2.10624743023089
ID,PMESII-PT-Political,CH,USA,-1.265385093933118
ID,PMESII-PT-Political,ID,CHN,1.7736295327090625
ID,PMESII-PT-Political,ID,RUS,0.6804750125733611
ID,PMESII-PT-Political,ID,USA,0.17491798006287837
ID,PMESII-PT-Political,JA,CHN,-1.0754584832624956
ID,PMESII-PT-Political,JA,RUS,-3.0727560250804973
ID,PMESII-PT-Political,JA,USA,-1.587767247032995
ID,PMESII-PT-Political,MY,CHN,1.1281756982207298
ID,PMESII-PT-Political,MY,RUS,0.6023606061935425
ID,PMESII-PT-Political,MY,USA,-0.34168447147716174
ID,PMESII-PT-Political,RP,CHN,-3.922177529470487
ID,PMESII-PT-Political,RP,RUS,-5.290323847532273
ID,PMESII-PT-Political,RP,USA,-2.2116923557745443
ID,PMESII-PT-Political,SN,CHN,2.022477626800537
ID,PMESII-PT-Political,SN,RUS,-2.3387845754623413
ID,PMESII-PT-Political,SN,USA,-1.1731156607468922
ID,PMESII-PT-Political,TW,CHN,-2.382055210827411
ID,PMESII-PT-Political,TW,RUS,-1.7151495185163286
ID,PMESII-PT-Political,TW,USA,-1.733733599449133
ID,PMESII-PT-Political,VM,CHN,2.9579694189808587
ID,PMESII-PT-Political,VM,RUS,0.8020634825030962
ID,PMESII-PT-Political,VM,USA,1.4954902659291807
ID,PMESII-PT-Social ,CH,CHN,0.2726889811498014
ID,PMESII-PT-Social ,CH,RUS,-1.8013534288772421
ID,PMESII-PT-Social ,CH,USA,-1.6340195310826835
ID,PMESII-PT-Social ,ID,CHN,1.8558915211087645
ID,PMESII-PT-Social ,ID,RUS,0.5806273482921647
ID,PMESII-PT-Social ,ID,USA,-0.15121285895104794
ID,PMESII-PT-Social ,JA,CHN,-1.4632925757190638
ID,PMESII-PT-Social ,JA,RUS,-2.6923434538027595
ID,PMESII-PT-Social ,JA,USA,-1.2015476702289147
ID,PMESII-PT-Social ,MY,CHN,1.463876760005951
ID,PMESII-PT-Social ,MY,RUS,0.6023606061935425
ID,PMESII-PT-Social ,MY,USA,-0.8166090250015259
ID,PMESII-PT-Social ,RP,CHN,-3.7504010855174457
ID,PMESII-PT-Social ,RP,RUS,-5.090185593474995
ID,PMESII-PT-Social ,RP,USA,-0.9101473004557192
